"Daily Weather Observations for Sydney, New South Wales for July 2022"
"Prepared at 13:00 UTC on Monday  3 October 2022   IDCJDW2124.202207"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (째C)","Maximum temperature (째C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (째C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (째C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-07-1,10.3,12.0,13.6,1.8,0.0,SW,28,05:48,11.3,95,8,WSW,7,1026.0,11.3,95,8,W,19,1023.6
,2022-07-2,10.8,15.8,16.0,0.2,0.0,ESE,57,21:54,11.7,100,8,WNW,13,1021.7,14.8,100,8,SE,24,1018.9
,2022-07-3,11.7,16.7,93.2,,0.0,ESE,81,08:30,15.3,93,8,ESE,46,1018.7,14.9,92,8,SE,35,1016.6
,2022-07-4,14.3,18.7,25.8,1.6,1.3,SSE,72,22:11,16.1,96,7,SSE,30,1014.7,17.2,93,8,SE,26,1014.2
,2022-07-5,14.4,16.1,72.6,,0.0,SSE,74,03:00,14.8,97,8,SSE,31,1021.1,15.8,81,8,SSE,30,1020.2
,2022-07-6,13.5,15.6,9.8,1.8,0.0,SSE,48,13:28,14.9,97,8,SE,24,1020.0,15.5,97,8,S,19,1016.0
,2022-07-7,13.4,18.2,50.4,1.4,1.8,SSW,46,15:56,14.3,92,7,W,19,1011.1,16.1,78,6,S,26,1009.0
,2022-07-8,7.7,15.9,0,3.0,9.4,W,56,14:27,10.2,74,1,W,20,1011.9,15.5,48,1,W,37,1009.9
,2022-07-9,7.3,17.7,0,2.2,8.7,W,37,12:21,9.7,77,1,W,20,1017.1,15.2,53,2,S,15,1016.7
,2022-07-10,8.7,16.3,19.0,3.0,1.8,SSE,56,11:39,10.7,99,7,W,17,1022.6,13.0,89,6,SSW,11,1023.3
,2022-07-11,9.8,14.9,11.4,5.8,4.2,WSW,30,04:25,10.7,99,7,W,17,1025.3,12.9,90,7,WNW,13,1021.6
,2022-07-12,7.9,17.9,8.8,0.4,6.1,WNW,26,07:53,8.6,100,7,W,22,1018.0,16.8,51,7,WNW,9,1014.0
,2022-07-13,7.8,14.8,0,1.0,5.8,S,46,18:37,10.7,71,5,W,26,1013.6,14.0,58,7,SSW,19,1012.0
,2022-07-14,7.8,14.7,21.6,4.2,4.7,SSW,57,12:37,9.5,95,7,WSW,28,1020.3,14.0,69,3,SSW,28,1022.0
,2022-07-15,5.6,18.1,3.4,1.8,9.3,W,35,07:46,7.7,84,1,W,26,1027.9,17.9,45,1,NW,9,1025.8
,2022-07-16,5.0,16.2,0.2,2.0,9.3,NW,41,19:56,7.1,86,7,W,15,1024.8,15.9,54,7,W,4,1021.0
,2022-07-17,7.1,21.3,0,3.2,9.5,NW,59,14:55,14.8,51,1,N,20,1016.3,20.6,30,1,NW,39,1010.7
,2022-07-18,10.2,16.1,0,6.8,9.5,W,52,12:45,12.4,64,1,WSW,13,1015.8,16.0,37,2,W,20,1017.8
,2022-07-19,7.2,13.0,1.2,3.8,2.1,SSW,50,10:55,8.8,73,6,W,20,1027.2,11.2,95,8,SSW,24,1027.5
,2022-07-20,8.8,15.3,11.6,1.2,2.2,SE,28,14:54,10.6,100,7,WNW,15,1031.8,14.2,86,7,SSE,13,1030.8
,2022-07-21,10.2,16.1,7.0,0.4,0.3,ESE,59,22:46,11.4,98,7,E,30,1031.8,14.4,83,7,ESE,31,1030.7
,2022-07-22,11.4,17.7,6.0,2.4,3.2,E,50,15:39,15.3,78,7,ESE,15,1030.7,14.1,95,7,ENE,15,1027.2
,2022-07-23,11.4,16.6,20.4,2.2,1.7,ESE,39,03:30,12.5,100,8,W,15,1026.6,15.0,93,7,SSE,4,1023.0
,2022-07-24,9.2,20.0,8.0,2.2,9.0,WNW,26,09:06,10.7,100,5,W,20,1023.7,19.8,71,3,E,9,1020.4
,2022-07-25,8.8,18.6,0,0.6,9.0,WNW,24,07:12,10.3,100,1,WNW,17,1021.0,17.7,70,2,ENE,19,1016.0
,2022-07-26,10.3,19.7,4.0,2.6,6.3,W,61,15:08,12.8,98,6,WNW,7,1010.7,15.7,48,7,W,26,1008.3
,2022-07-27,8.9,19.6,0,4.6,9.7,W,50,10:14,11.0,59,1,W,28,1016.3,19.2,36,1,SSW,15,1016.2
,2022-07-28,9.3,21.2,0,3.2,8.3,W,39,09:33,11.8,70,1,W,24,1023.2,20.9,41,7,WNW,7,1020.4
,2022-07-29,10.1,16.4,0,3.0,9.5,SSE,44,15:50,11.3,62,2,WSW,19,1024.1,15.6,39,1,S,26,1022.8
,2022-07-30,5.7,18.3,0,3.4,9.4,W,31,02:44,7.7,72,2,W,22,1029.3,17.8,41,1,SW,2,1026.2
,2022-07-31,6.7,18.1,0,0.6,2.3,N,37,12:38,9.2,89,8,W,7,1024.9,17.2,49,7,N,17,1020.0
